sample,video_id,video_row,video_col,power_mW,speed_mm_s,distance_um,replicate,resistance_kOhm_sq
Sample 1,S001,00,00,30.0,2.0,10.0,1,2.12
Sample 1,S012,00,01,30.0,4.0,10.0,1,0.8
Sample 1,S013,00,02,30.0,6.0,10.0,1,0.81
Sample 1,S024,00,03,30.0,8.0,10.0,1,0.8
Sample 1,S025,00,04,30.0,10.0,10.0,1,0.92
Sample 1,S002,01,00,30.0,2.0,20.0,1,1.07
Sample 1,S011,01,01,30.0,4.0,20.0,1,0.65
Sample 1,S014,01,02,30.0,6.0,20.0,1,0.68
Sample 1,S023,01,03,30.0,8.0,20.0,1,0.77
Sample 1,S026,01,04,30.0,10.0,20.0,1,0.81
Sample 1,S003,02,00,30.0,2.0,30.0,1,1.7
Sample 1,S010,02,01,30.0,4.0,30.0,1,0.69
Sample 1,S015,02,02,30.0,6.0,30.0,1,0.76
Sample 1,S022,02,03,30.0,8.0,30.0,1,0.82
Sample 1,S027,02,04,30.0,10.0,30.0,1,0.83
Sample 1,S004,03,00,30.0,2.0,40.0,1,0.95
Sample 1,S009,03,01,30.0,4.0,40.0,1,0.63
Sample 1,S016,03,02,30.0,6.0,40.0,1,68.0
Sample 1,S021,03,03,30.0,8.0,40.0,1,0.8
Sample 1,S028,03,04,30.0,10.0,40.0,1,0.98
Sample 1,S005,04,00,30.0,2.0,50.0,1,0.61
Sample 1,S008,04,01,30.0,4.0,50.0,1,0.59
Sample 1,S017,04,02,30.0,6.0,50.0,1,0.63
Sample 1,S020,04,03,30.0,8.0,50.0,1,0.73
Sample 1,S029,04,04,30.0,10.0,50.0,1,0.93
Sample 1,S006,05,00,30.0,2.0,60.0,1,0.35
Sample 1,S007,05,01,30.0,4.0,60.0,1,0.48
Sample 1,S018,05,02,30.0,6.0,60.0,1,0.7
Sample 1,S019,05,03,30.0,8.0,60.0,1,0.83
Sample 1,S030,05,04,30.0,10.0,60.0,1,1.2
